#
# This is the translation file for converting NRCS RUSLE2 "skeleton" files to WEPS files. The entries are
# consulted when a RUSLE2 operation or crop is not found in the WEPS databases when the skeleton files are being imported.
# There are 3 columns seperated by pipe| characters.
#
#     Column 1 - The RUSLE2 name of an operation or crop
#
#     Column 2 - What to do when it is encountered, currently the 3 options are:
#                             rename - change name of operation or crop to match a WEPS value 
#                             delete - if name is an operation it removes the entire line
#                                      if name is a crop it deletes only the crop portion of entry
#                renameAndDeleteCrop - changes name of operation, if a crop is part of the entry the crop field is cleared.
#Hmm, looks like we need a "renameAndAddCrop" option also - LEW
#
#     Column 3 - The WEPS name to be used.
#                If column 1 is a crop name and column 2 is set to "rename", then "none" specified in column 3
#                will clear the crop field
# Lines in the file that start with a # are considered comment lines. 
#
# January 7, 2005 - jrf
#
#
# Notes from Jim's email message to me on Jan 7, 2005 - LEW
#
# In the rusle2 translation file if the rusle2 name maps to a vegetation then a 'delete' will delete that vegetation entry from
# any weps records, it will still leave the operation - just the crop column will be empty. The same applies if the action is
# 'rename|none' and the rusle2 name is a vegetation - the weps crop column becomes empty.
#
# There is a new action you can put in the rusle2 translation file: 'renameAndDeleteCrop' which applies an operation rename and
# then blanks the crop entry if one is present with this operation.
#
# For manually doing crop removals the first entry in the crop dropdown list is now blank which effectively clears the crop
# field if this is selected. When the data is converted to a weps management file these crop entries are not included. 
#
#-----------------------
# Example line that would remove the RUSLE2 operation from the generated WEPS man file (based upon a RUSLE2 operation name)
#Harvest, hay, legume|delete|none
#
#Based upon Jim's documentation, the following two lines perform the same function at this time.
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|delete|none
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|rename|none
#
# Example line that would rename the operation and remove a crop entry if it exists
#Harvest, hay, legume|RenameAndDeleteCrop|Harvest/Harvest (cut and remove whole plant above cut height)
#-----------------------
# CMZ 20
#
# Note that this one was used as a planting record (not a good thing for RUSLE2 to do with a "re-growth" record)
#
#
# Can't add "manure" crop with this substitution
#Manure spreader, solid and semi-solid|rename|Other/Add Crop Residue
#
#
Plastic mulch applic. 64 inch beds 85 percent cover|rename|Plastic mulch applic. 64 inch beds 85 percent cover
Plastic mulch applicator 100 percent cover|rename|Plastic mulch, remove
Plastic mulch applicator 40 percent cover|rename|Plastic mulch, remove
Plastic mulch applicator 50 percent cover|rename|Plastic mulch, remove
Plastic mulch applicator 75 percent cover|rename|Plastic mulch, remove
Plastic mulch, 05 percent removal|rename|Plastic mulch, remove
Plastic mulch, 10 percent removal|rename|Plastic mulch, remove
Plastic mulch, 25 percent removal|rename|Plastic mulch, remove
Plastic mulch, 50 percent  removal|rename|Plastic mulch, remove
Plastic mulch, remove|rename|Plastic mulch, remove
Plastic weed barrier 40 inch beds 100 percent cover|rename|Plastic mulch applic. 40 inch beds 100 percent cover
Plastic weed barrier 40 inch beds 50 percent cover|rename|Plastic mulch applic. 40 inch beds 75 percent cover
Plastic weed barrier 40 inch beds 75 percent cover|rename|Plastic mulch applic. 40 inch beds 75 percent cover
Plastic weed barrier applicator 100 percent cover|rename|Plastic mulch applic. 48 inch beds 100 percent cover
Plastic weed barrier applicator 50 percent cover|rename|Plastic mulch applic. 40 inch beds 100 percent cover
Plastic weed barrier applicator 75 percent cover|rename|Plastic mulch applic. 40 inch beds 100 percent cover
Plow, deep, large, moldboard|rename|Plow, deep, large, moldboard
Plow, disk|rename|Disk, offset, heavy 15 in depth
Plow, moldboard|rename|Plow, moldboard
Plow, moldboard 10 inch depth|rename|Plow, moldboard 10 inch depth
Plow, moldboard 6-7 inch depth|rename|Plow, moldboard 6-7 inch depth
Plow, moldboard, conservation|rename|Plow, moldboard, conservation
Plow, moldboard, up hill|rename|Plow, moldboard, up hill
Plow, oxen 12 in ridge|delete|none
Plow, oxen 18 in ridge|delete|none
Plow, oxen on 6 in ridge|delete|none
Plow, oxen, strip 30 pct disturb|delete|none
Plow, oxen, strip 60 pct disturb|delete|none
Plow, reversable|rename|Plow, reversable
Power mulcher bed conditioner|rename|Power mulcher bed conditioner
Pruning|delete|none
Regrow|delete|none
Residue conditioner, coil tine har, rlng bskt|rename|Harrow, coiled tine
Residue, row cleaner|rename|Harrow, coiled tine
Rice residue stomper|rename|Rice residue stomper
Rodweeder|rename|Rodweeder
Roller harrow|rename|Roller harrow
Roller, corrugated packer|rename|Roller, corrugated packer
Roller, corrugated packer 6 by 16|rename|Roller, corrugated packer 6 by 16
Roller, on beds|rename|Roller, on beds
Roller, residue|rename|Roller, corrugated packer
Roller, residue incorporator|rename|Roller, corrugated packer
Roller, row shaper|rename|Roller, on beds
Roller, smooth|rename|Roller, smooth
Rolling basket incorporator|rename|Rolling basket incorporator
Root rake|delete|none
Rotary hoe|rename|Rotary hoe
Rotary hoe, residue|rename|Rotary hoe
Rototiller, field|rename|Rototiller, field
Rototiller, field, add residue|rename|Rototiller, field, add residue
Rototiller, on beds|rename|Rototiller, on beds
Rototiller, row cult add residue|rename|Rototiller, row cult add residue
Rototiller, row cultivator|rename|Rototiller, row cult add residue
Sand fighter|rename|Sand fighter
Scalper, tree|delete|none
Scarifier|delete|none
Scraper/pan/grader, clearing/cutting|delete|none
Seedbed conditioner, coil tine har, rlng bskt|rename|Harrow, coiled tine
Seedbed conditioner, coulter caddy, coil tine har|rename|Harrow, coiled tine
Seedbed conditioner, coulter caddy, coil tine har, rlng bskt|rename|Harrow, coiled tine
Seedbed conditioner, coulter caddy, field cult, spike harrow|rename|Cultivator, field 6-12 in sweeps
Seedbed conditioner, coulter caddy, rtry har|rename|Harrow, rotary
Seedbed conditioner, coulter caddy, rtry har, rlng bskt|rename|Harrow, rotary
Seedbed conditioner, coulter caddy, spk har|rename|Harrow, spike tooth
Seedbed conditioner, coulter caddy, spk har, rlng bskt|rename|Harrow, spike tooth
Seedbed finisher|rename|Disk, tandem light finishing
Seedbed finisher, fld cult, chop, spk har, rlng bskt|rename|Cultivator, field 6-12 in sweeps
Seedbed finisher, fld cult, mlch trdr|rename|Cultivator, field 6-12 in sweeps
Seedbed finisher, fld cult, rtry har|rename|Cultivator, field 6-12 in sweeps
Seedbed finisher, sngl disk, fld cult, coil tine har, rollng bskt|rename|Disk, tandem light finishing
Seedbed finisher, sngl disk, rotry har|rename|Disk, tandem light finishing
Seedbed finisher, sngl dsk, fld cult, coil tine har|rename|Disk, tandem light finishing
Seeder, corrugated packer|rename|Seeder, corrugated packer
Seeder, dormant, corrugated packer|rename|Seeder, corrugated packer
Seeder, high density vegetable|rename|Planter, double disk opnr
Shredder, flail or rotary|rename|Shredder, flail or rotary
Shredder, flail or rotary, add other cover|rename|Shredder, flail or rotary
Shredder, flail or rotary, filberts and pecans|rename|Shredder, flail or rotary
Shredder, rotary mower|rename|Shredder, flail or rotary
Shredder, rotary, regrow veg|renameAndDeleteCrop|Shredder, flail or rotary
Shredder, rotary, remove residue|renameAndDeleteCrop|Shredder, flail or rotary
Slip plow 48 to 60 in. deep|rename|Slip plow 48 to 60 in. deep
Sod cutter|rename|Sod cutter
Sprayer, defoliant|rename|Sprayer, defoliant
Sprayer, insecticide post emergence|rename|Sprayer, post emergence, in crop
Sprayer, kill cover in growing crop|rename|Sprayer, kill cover in growing crop
Sprayer, kill cover in growing vegetables|rename|Sprayer, kill cover in growing crop
Sprayer, kill crop|rename|Sprayer, kill crop
Sprayer, kill strips|rename|Sprayer, kill strips
Sprayer, post emergence|rename|Sprayer, post emergence, in crop
Sprayer, pre-emergence|rename|Sprayer, pre-emergence
Stalk chopper, rolling|rename|Stalk chopper, rolling
Stalk chopper, rolling, on ridgetill ridges|rename|Stalk chopper, rolling
Stalk chopper, rolling, strip|rename|Stalk chopper, rolling
Stalk chopper, rotary|rename|Stalk chopper, rolling
Stalk chopper, strip rotary|rename|Stalk chopper, rolling
Stalk puller|rename|Stalk puller high disturbance
Stalk puller high disturbance|rename|Stalk puller high disturbance
Stalk slicer|rename|Stalk puller high disturbance
Strip till bed conditioner|rename|Strip till bed conditioner
Striptiller w/middlebuster on beds|rename|Strip till bed conditioner
Subsoil disk ripper|rename|Strip till bed conditioner
Subsoiler|rename|Subsoiler
Subsoiler bedder (ripper/hipper)|rename|Subsoiler bedder (ripper hipper)
Subsoiler ripper, 24 to 40 in. deep|rename|Subsoiler
Subsoiler, 12 foot spacing|rename|Subsoiler
Subsoiler, in row|rename|Subsoiler
Subsoiler, inline heavy shanks with coulter caddy|rename|Subsoiler
Subsoiler, inline with coulter caddy|rename|Subsoiler
Subsoiler, rlng stlk chpr, roller, mulch treader|rename|Subsoiler, rlng stlk chpr, roller, mulch treader
Subsoiler, wide spacing|rename|Subsoiler, wide spacing
Sweep plow 20-40 in wide|rename|Sweep plow 20-40 in wide
Sweep plow wider  than 40 in w/ mulch treader|rename|Sweep plow wider  than 40 in-mulch treader
Sweep plow, under bed|rename|Sweep plow, under bed
Sweep plow, wider than 40 in|rename|Sweep plow, wider than 40 in
Sweep, single under row|rename|Sweep, single under row
Tree spade, holes left|delete|none
Tree spade, holes plugged|delete|none
Water mulch; off|rename|Water flood off
Water mulch; on|rename|Water flood off
Weed control, manual hoe|delete|none
Weed control, string trimmer|delete|none
Weeder, finger weeder|delete|none

#

